# ICINGA2-MIB list of identifiers (generated by smidump 0.4.8)

ICINGA2-MIB I2BooleanTC                   type        
ICINGA2-MIB I2StringTC                    type        
ICINGA2-MIB I2TimeStampTC                 type        
ICINGA2-MIB I2NameTC                      type        
ICINGA2-MIB I2DisplayNameTC               type        
ICINGA2-MIB I2HaModeTC                    type        
ICINGA2-MIB I2HostNameTC                  type        
ICINGA2-MIB I2AddressTC                   type        
ICINGA2-MIB I2Address6TC                  type        
ICINGA2-MIB I2CheckCommandTC              type        
ICINGA2-MIB I2CheckIntervalTC             type        
ICINGA2-MIB I2CheckTimeoutTC              type        
ICINGA2-MIB I2AttemptTC                   type        
ICINGA2-MIB icinga2                       node         1.3.6.1.4.1.12483.999.2
ICINGA2-MIB i2ObjectAttributes            node         1.3.6.1.4.1.12483.999.2.1
ICINGA2-MIB i2GenericAttribute            node         1.3.6.1.4.1.12483.999.2.1.0
ICINGA2-MIB i2ObjectType                  scalar       1.3.6.1.4.1.12483.999.2.1.0.1
ICINGA2-MIB i2Name                        scalar       1.3.6.1.4.1.12483.999.2.1.0.3
ICINGA2-MIB i2StateType                   scalar       1.3.6.1.4.1.12483.999.2.1.0.4
ICINGA2-MIB i2DisplayName                 scalar       1.3.6.1.4.1.12483.999.2.1.0.5
ICINGA2-MIB i2Notes                       scalar       1.3.6.1.4.1.12483.999.2.1.0.6
ICINGA2-MIB i2NotesUrl                    scalar       1.3.6.1.4.1.12483.999.2.1.0.7
ICINGA2-MIB i2Output                      scalar       1.3.6.1.4.1.12483.999.2.1.0.8
ICINGA2-MIB i2CheckCommand                scalar       1.3.6.1.4.1.12483.999.2.1.0.9
ICINGA2-MIB i2CheckAttempt                scalar       1.3.6.1.4.1.12483.999.2.1.0.10
ICINGA2-MIB i2EnableActiveChecks          scalar       1.3.6.1.4.1.12483.999.2.1.0.11
ICINGA2-MIB i2EnableEventHandler          scalar       1.3.6.1.4.1.12483.999.2.1.0.12
ICINGA2-MIB i2EnableFlapping              scalar       1.3.6.1.4.1.12483.999.2.1.0.13
ICINGA2-MIB i2EnableNotfications          scalar       1.3.6.1.4.1.12483.999.2.1.0.14
ICINGA2-MIB i2EnablePassiveCheck          scalar       1.3.6.1.4.1.12483.999.2.1.0.15
ICINGA2-MIB i2EnablePerfdata              scalar       1.3.6.1.4.1.12483.999.2.1.0.16
ICINGA2-MIB i2Active                      scalar       1.3.6.1.4.1.12483.999.2.1.0.17
ICINGA2-MIB i2Global                      scalar       1.3.6.1.4.1.12483.999.2.1.0.18
ICINGA2-MIB i2Address                     scalar       1.3.6.1.4.1.12483.999.2.1.0.19
ICINGA2-MIB i2Address6                    scalar       1.3.6.1.4.1.12483.999.2.1.0.20
ICINGA2-MIB i2Parent                      scalar       1.3.6.1.4.1.12483.999.2.1.0.21
ICINGA2-MIB i2HaMode                      scalar       1.3.6.1.4.1.12483.999.2.1.0.22
ICINGA2-MIB i2LastCheck                   scalar       1.3.6.1.4.1.12483.999.2.1.0.99
ICINGA2-MIB i2CheckInterval               scalar       1.3.6.1.4.1.12483.999.2.1.0.100
ICINGA2-MIB i2CheckPeriod                 scalar       1.3.6.1.4.1.12483.999.2.1.0.101
ICINGA2-MIB i2HostAttributes              node         1.3.6.1.4.1.12483.999.2.1.1
ICINGA2-MIB i2HostName                    scalar       1.3.6.1.4.1.12483.999.2.1.1.1
ICINGA2-MIB i2StateHost                   scalar       1.3.6.1.4.1.12483.999.2.1.1.4
ICINGA2-MIB i2ServiceAttributes           node         1.3.6.1.4.1.12483.999.2.1.2
ICINGA2-MIB i2ServiceName                 scalar       1.3.6.1.4.1.12483.999.2.1.2.1
ICINGA2-MIB i2StateService                scalar       1.3.6.1.4.1.12483.999.2.1.2.2
ICINGA2-MIB i2NotificationType            scalar       1.3.6.1.4.1.12483.999.2.1.6
ICINGA2-MIB i2UserAttributes              node         1.3.6.1.4.1.12483.999.2.1.10
ICINGA2-MIB i2UserPager                   scalar       1.3.6.1.4.1.12483.999.2.1.10.1
ICINGA2-MIB i2EndpointAttributes          node         1.3.6.1.4.1.12483.999.2.1.13
ICINGA2-MIB i2EndpointName                scalar       1.3.6.1.4.1.12483.999.2.1.13.1
